saved_at,session_start,replay_timestamp,instrument,side,quantity,fill_price,position_before,position_after,avg_price_after,realized_delta,realized_pnl,unrealized_pnl,source
12:47.5,9/06/2026 9:30,35:38.3,NQ,BUY,1,29316.5,0,1,29316.5,,0,,1 CSV file(s) via ticks.sqlite3
13:03.2,9/06/2026 9:30,40:54.5,NQ,BUY,1,29344.25,1,2,29330.38,,0,,1 CSV file(s) via ticks.sqlite3
13:12.4,9/06/2026 9:30,21:56.5,NQ,SELL,2,29415.5,2,0,0,,3405,,1 CSV file(s) via ticks.sqlite3
13:23.2,9/06/2026 9:30,22:38.6,NQ,BUY,1,29466.5,0,1,29466.5,,0,,1 CSV file(s) via ticks.sqlite3
13:46.8,9/06/2026 9:30,25:56.3,NQ,SELL,1,29442.75,1,0,0,,-475,,1 CSV file(s) via ticks.sqlite3
13:56.5,9/06/2026 9:30,40:03.9,NQ,BUY,1,29507,0,1,29507,,0,,1 CSV file(s) via ticks.sqlite3
14:08.1,9/06/2026 9:30,43:08.4,NQ,SELL,1,29491,1,0,0,,-320,,1 CSV file(s) via ticks.sqlite3
14:13.9,9/06/2026 9:30,45:10.8,NQ,BUY,1,29516,0,1,29516,,0,,1 CSV file(s) via ticks.sqlite3
14:39.2,9/06/2026 9:30,40:28.6,NQ,SELL,1,29580.25,1,0,0,,1285,,1 CSV file(s) via ticks.sqlite3
15:13.3,10/06/2026 9:30,45:04.9,NQ,BUY,1,29016.75,0,1,29016.75,,0,,1 CSV file(s) via ticks.sqlite3
15:31.3,10/06/2026 9:30,55:29.9,NQ,BUY,1,29060,1,2,29038.38,,0,,1 CSV file(s) via ticks.sqlite3
15:33.5,10/06/2026 9:30,00:02.8,NQ,SELL,2,29079.25,2,0,0,,1635,,1 CSV file(s) via ticks.sqlite3
17:19.5,11/06/2026 9:30,05:13.7,NQ,BUY,1,28624.5,0,1,28624.5,,0,,1 CSV file(s) via ticks.sqlite3
17:37.2,11/06/2026 9:30,10:10.6,NQ,BUY,1,28646.5,1,2,28635.5,,0,,1 CSV file(s) via ticks.sqlite3
17:43.3,11/06/2026 9:30,15:18.0,NQ,SELL,2,28714.5,2,0,0,,3160,,1 CSV file(s) via ticks.sqlite3
19:10.9,12/06/2026 9:30,00:21.3,NQ,SELL,1,29570,0,-1,29570,,0,,1 CSV file(s) via ticks.sqlite3
19:51.3,12/06/2026 9:30,16:24.8,NQ,BUY,1,29572.25,-1,0,0,,-45,,1 CSV file(s) via ticks.sqlite3
20:08.7,12/06/2026 9:30,25:07.4,NQ,SELL,1,29509,0,-1,29509,,0,,1 CSV file(s) via ticks.sqlite3
20:45.6,12/06/2026 9:30,49:19.0,NQ,BUY,1,29530,-1,0,0,,-420,,1 CSV file(s) via ticks.sqlite3
20:58.1,12/06/2026 9:30,00:14.4,NQ,BUY,1,29557.75,0,1,29557.75,,0,,1 CSV file(s) via ticks.sqlite3
21:19.4,12/06/2026 9:30,25:11.2,NQ,SELL,1,29538.5,1,0,0,,-385,,1 CSV file(s) via ticks.sqlite3
21:41.9,12/06/2026 9:30,26:35.6,NQ,BUY,1,29505.75,0,1,29505.75,,0,,1 CSV file(s) via ticks.sqlite3
21:56.4,12/06/2026 9:30,40:58.0,NQ,SELL,1,29545.75,1,0,0,,800,,1 CSV file(s) via ticks.sqlite3
22:22.6,12/06/2026 9:30,21:04.5,NQ,BUY,1,29505.5,0,1,29505.5,,0,,1 CSV file(s) via ticks.sqlite3
22:34.1,12/06/2026 9:30,30:23.0,NQ,BUY,1,29535.25,1,2,29520.38,,0,,1 CSV file(s) via ticks.sqlite3
22:35.0,12/06/2026 9:30,30:33.0,NQ,SELL,2,29543.5,2,0,0,,925,,1 CSV file(s) via ticks.sqlite3
23:25.8,12/06/2026 9:30,55:26.2,NQ,BUY,1,29343.5,0,1,29343.5,,0,,1 CSV file(s) via ticks.sqlite3
23:28.0,12/06/2026 9:30,55:47.5,NQ,SELL,1,29338.75,1,0,0,,-95,,1 CSV file(s) via ticks.sqlite3
23:28.6,12/06/2026 9:30,55:53.4,NQ,SELL,1,29335.75,0,-1,29335.75,,0,,1 CSV file(s) via ticks.sqlite3
23:39.2,12/06/2026 9:30,00:01.6,NQ,BUY,1,29367,-1,0,0,,-625,,1 CSV file(s) via ticks.sqlite3
23:43.6,12/06/2026 9:30,00:46.5,NQ,SELL,1,29354.75,0,-1,29354.75,,0,,1 CSV file(s) via ticks.sqlite3
23:50.5,12/06/2026 9:30,04:12.7,NQ,BUY,1,29312.25,-1,0,0,,850,,1 CSV file(s) via ticks.sqlite3
24:05.0,12/06/2026 9:30,15:52.7,NQ,SELL,1,29278,0,-1,29278,,0,,1 CSV file(s) via ticks.sqlite3
24:16.4,12/06/2026 9:30,21:12.3,NQ,BUY,1,29304,-1,0,0,,-520,,1 CSV file(s) via ticks.sqlite3
24:30.7,12/06/2026 9:30,45:30.3,NQ,BUY,1,29377,0,1,29377,,0,,1 CSV file(s) via ticks.sqlite3
24:37.0,12/06/2026 9:30,56:52.0,NQ,SELL,1,29419,1,0,0,,840,,1 CSV file(s) via ticks.sqlite3
25:44.8,18/06/2026 9:30,20:23.3,NQ,SELL,1,30407.25,0,-1,30407.25,,0,,1 CSV file(s) via ticks.sqlite3
26:01.9,18/06/2026 9:30,13:46.9,NQ,BUY,1,30378,-1,0,0,,585,,1 CSV file(s) via ticks.sqlite3
26:17.1,18/06/2026 9:30,20:23.4,NQ,SELL,1,30340.75,0,-1,30340.75,,0,,1 CSV file(s) via ticks.sqlite3
26:32.8,18/06/2026 9:30,40:15.3,NQ,SELL,1,30301.25,-1,-2,30321,,0,,1 CSV file(s) via ticks.sqlite3
26:41.6,18/06/2026 9:30,18:50.7,NQ,BUY,2,30365,-2,0,0,,-1760,,1 CSV file(s) via ticks.sqlite3
27:22.7,18/06/2026 12:30,31:03.4,NQ,SELL,1,30389.5,0,-1,30389.5,,0,,1 CSV file(s) via ticks.sqlite3
27:28.3,18/06/2026 12:30,34:32.3,NQ,BUY,1,30410.5,-1,0,0,,-420,,1 CSV file(s) via ticks.sqlite3
27:36.7,18/06/2026 12:30,05:07.7,NQ,SELL,1,30404.25,0,-1,30404.25,,0,,1 CSV file(s) via ticks.sqlite3
28:08.5,18/06/2026 12:30,15:44.3,NQ,SELL,1,30366.75,-1,-2,30385.5,,0,,1 CSV file(s) via ticks.sqlite3
28:20.7,18/06/2026 12:30,33:38.0,NQ,BUY,2,30318.5,-2,0,0,,2680,,1 CSV file(s) via ticks.sqlite3
29:23.1,22/06/2026 9:30,05:23.1,NQ,BUY,1,30504.25,0,1,30504.25,,0,,1 CSV file(s) via ticks.sqlite3
29:38.2,22/06/2026 9:30,11:31.6,NQ,SELL,1,30483.25,1,0,0,,-420,,1 CSV file(s) via ticks.sqlite3
29:44.2,22/06/2026 9:30,20:14.1,NQ,BUY,1,30521.5,0,1,30521.5,,0,,1 CSV file(s) via ticks.sqlite3
29:50.5,22/06/2026 9:30,27:06.4,NQ,SELL,1,30548.5,1,0,0,,540,,1 CSV file(s) via ticks.sqlite3
30:38.6,22/06/2026 9:30,05:08.6,NQ,BUY,1,30638,0,1,30638,,0,,1 CSV file(s) via ticks.sqlite3
30:50.7,22/06/2026 9:30,47:38.2,NQ,SELL,1,30616,1,0,0,,-440,,1 CSV file(s) via ticks.sqlite3
31:13.5,22/06/2026 9:30,30:14.4,NQ,SELL,1,30590,0,-1,30590,,0,,1 CSV file(s) via ticks.sqlite3
31:26.0,22/06/2026 9:30,01:31.5,NQ,BUY,1,30559.25,-1,0,0,,615,,1 CSV file(s) via ticks.sqlite3
32:58.3,23/06/2026 9:30,00:13.9,NQ,BUY,1,30593.25,0,1,30593.25,,0,,1 CSV file(s) via ticks.sqlite3
33:08.1,23/06/2026 9:30,06:45.5,NQ,SELL,1,30572,1,0,0,,-425,,1 CSV file(s) via ticks.sqlite3
33:14.8,23/06/2026 9:30,07:13.1,NQ,SELL,1,30582.5,0,-1,30582.5,,0,,1 CSV file(s) via ticks.sqlite3
33:24.1,23/06/2026 9:30,12:24.4,NQ,BUY,1,30529.5,-1,0,0,,1060,,1 CSV file(s) via ticks.sqlite3
33:42.2,23/06/2026 9:30,25:48.6,NQ,SELL,1,30466,0,-1,30466,,0,,1 CSV file(s) via ticks.sqlite3
33:50.1,23/06/2026 9:30,26:24.2,NQ,BUY,1,30485.5,-1,0,0,,-390,,1 CSV file(s) via ticks.sqlite3
33:50.6,23/06/2026 9:30,26:26.6,NQ,SELL,1,30488.25,0,-1,30488.25,,0,,1 CSV file(s) via ticks.sqlite3
34:03.5,23/06/2026 9:30,31:24.8,NQ,BUY,1,30513.75,-1,0,0,,-510,,1 CSV file(s) via ticks.sqlite3
34:09.8,23/06/2026 9:30,31:53.0,NQ,BUY,1,30519.5,0,1,30519.5,,0,,1 CSV file(s) via ticks.sqlite3
34:21.0,23/06/2026 9:30,43:39.7,NQ,SELL,1,30571.75,1,0,0,,1045,,1 CSV file(s) via ticks.sqlite3
34:52.2,24/06/2026 9:30,35:23.4,NQ,SELL,1,29642,0,-1,29642,,0,,1 CSV file(s) via ticks.sqlite3
35:14.0,24/06/2026 9:30,40:37.0,NQ,SELL,1,29625.25,-1,-2,29633.62,,0,,1 CSV file(s) via ticks.sqlite3
35:17.8,24/06/2026 9:30,45:02.5,NQ,BUY,2,29661.5,-2,0,0,,-1115,,1 CSV file(s) via ticks.sqlite3
35:48.7,24/06/2026 9:30,00:48.6,NQ,BUY,1,29771.5,0,1,29771.5,,0,,1 CSV file(s) via ticks.sqlite3
36:02.2,24/06/2026 9:30,04:28.1,NQ,SELL,1,29755,1,0,0,,-330,,1 CSV file(s) via ticks.sqlite3
36:19.5,24/06/2026 9:30,10:46.6,NQ,BUY,1,29836.25,0,1,29836.25,,0,,1 CSV file(s) via ticks.sqlite3
